AAAAUTOCLUB,"Group for drivers"
ALLWASHEDUP,"Ruined"
ALLWEEKLONG,"168 straight hours"
ALLWORKEDUP,"Upset"
ALLYOUCANDO,"Start of a quip"
ALMANACLIST,"""Highest Mountains"" or ""World Series MVP's,"" e.g."
ALOADOFBUNK,"The deceitful bedmaker's story was..."
ALOEDGROUND,"Garden with soothing plants?"
ALOEVERANDA,"Porch where succulent plants are grown?"
ALONGWITHME,"Song from ""Call Me Mister,"" 1946"
ALOTOFCHEEK,"Some nerve"
ALOTTAMONEY,"Io who?"
ALOTTOLEARN,"What tyros have on their plates, probably"
ALOWPROFILE,"Something to KEEP to oneself"
ALPERTSHERB,"Band leader's plant?"
ALPHABETIZE,"*Put in order, as files"
ALPHABLONDY,"Reggae star from Cote D'Ivoire who calls himself an ""African Rasta"""
ALPHABLONDY,"West African reggae star who released the 2004 album ""Merci"""
ALPHAFEMALE,"Assertive woman"
ALPHAROMEOS,"Sporty Greek cars?"
ALSOAREASIN,"Part 5 of mystery question"
ALSONWHEELS,"Gore and Franken taking a bike ride?"
ALTARNATIVE,"A different place to get married?"
ALTERCATION,"Action?"
ALTERCATION,"Noisy quarrel"
ALTERCATION,"Scene"
ALTERCATION,"Vehement quarrel"
ALTERNATION,"Change state"
ALTERNATIVE,"Change the indigene"
ALTERNATIVE,"Choice"
ALTERNATIVE,"Following unconventional ideas"
ALTERNATIVE,"Option"
ALTERNATIVE,"Rock type"
ALTERNATORS,"Underhood electricity producers"
ALTOSTRATUS,"Cloud type"
ALUMINUMBAT,"Little League ""lumber"""
ALUMINUMCAN,"Curbside recyclable"
ALUMINUMCAN,"Prison recycling bin item?"
ALUMINUMCAN,"Recyclable"
ALUMINUMCAN,"Recycled item"
ALUMINUMCAN,"Soda container, perhaps"
ALUMINUMCAN,"Soda pop container"
ALUMINUMORE,"Bauxite or cryolite"
AMALGAMATES,"Brings about a merger, as of two firms"
AMANDABEARD,"Swimming gold medalist at Athens"
AMANDABLAKE,"Miss Kitty portrayer"
AMANDABLAKE,"Some guy + Pat + Veronica = Actress"
AMANDACROSS,"""The Puzzled Heart"" mystery novelist"
AMANDACROSS,"Carolyn Gold Heilbrun's pen name"
AMANDACROSS,"Carolyn Heilbrun's writing name"
AMANISNEVER,"Start of Evan Esar quote"
AMANISNEVER,"Start of a quip"
AMASKEDBALL,"Verdi opera"
AMATEURHOUR,"Open mic night"
AMATICIRONY,"Of theater?"
AMAZINGFEET,"Podiatrist's accomplishment?"
AMAZINGPEAT,"Miracle alternative fuel?"
AMAZINGRACE,"Olympic highlight?"
AMAZINGRACE,"The first four-minute mile, e.g.?"
AMAZONGRACE,"Big river's elegance?"
AMAZONRIVER,"South American flower"
AMAZONRIVER,"South American wide body"
AMBASSADORS,"Envoys"
AMBERYELLOW,"Traffic light color"
AMBIDETROUS,"Like a switch-hitter"
AMCLINTONER,"Surprise attacker"
AMELIORATED,"Improved"
AMELIORATED,"Made better"
AMELIORATES,"Improves, as a situation"
AMENBROTHER,"""Precisely!"""
AMENDMENTIX,"Part of the Bill of Rights that addresses the Constitution itself"
AMENPACKAGE,"Gift set that includes a Bible?"
AMERADAHISS,"Company specializing in snake oil?"
AMERICAJONG,"Reluctant flier at home?"
AMERICAKANE,"Homegrown Susan Lucci vamp?"
AMERICANDAB,"Show that's only a tiny bit U.S.-centric?"
AMERICANDAD,"Animated FOX sitcom"
AMERICANDAD,"Book by Tama Janowitz"
AMERICANDAD,"Seth MacFarlane cartoon series"
AMERICANELM,"Mass. State tree"
AMERICANELM,"State tree of Massachusetts and North Dakota: 2 wds."
AMERICANELM,"State tree of Massachusetts, Nebraska, and North Dakota"
AMERICANISM,"""What can I do ya for,"" e.g."
AMERICANIVY,"Virginia creeper"
AMERICANIZE,"Convert to McDonald's, the Gap, etc."
AMERICANPAN,"U.S.-made cookware?"
AMERICANPIE,"'99 Jason Biggs film"
AMERICANPIE,"1971 Don McLean hit"
AMERICANPIE,"1972 #1 hit that starts ""A long, long time ago"""
AMERICANPIE,"1972 song or 1999 movie"
AMERICANPIE,"1999 Mena Suvari movie"
AMERICANPIE,"82-minute hit song of 1971"
AMERICANPIE,"Don McLean #1 tune"
AMERICANPIE,"Don McLean biggie"
AMERICANPIE,"Jason Biggs film"
AMERICANPIE,"Jason Biggs hit"
AMERICANPIE,"Song that begins ""A long, long time ago"""
AMERICANPIE,"Song that mentions ""the Father, Son and the Holy Ghost"""
AMERICANRED,"Relief provider"
AMERICANSUB,"U.S.S. Nautilus, for one"
AMERICANWAY,"Value system of the United States"
AMERICASCOP,"Man in blue (and red and white?)"
AMERICASCUP,"Black Magic's trophy"
AMERICASCUP,"Comic Captain's protective gear?"
AMERICASCUP,"Its prize is a bottomless silver ewer"
AMERICASCUP,"Sailor's prize"
AMERICASCUP,"Ted Turner successfully defended it in 1977"
AMERICASCUP,"Ted Turner won it in '77"
AMERICASCUP,"Yachting prize"
AMERICASCUP,"Yachtsman's gift to Mom?"
AMERICASCUP,"Yachtsman's triumph"
AMERICATHAT,"Part 5 of quote"
AMERICATOWN,"Five For Fighting album of 2000"
AMERICAWEST,"It merged with US Airways in 2005"
AMERICAWEST,"Phoenix Suns' arena"
AMERINDIANS,"Iroquois and others"
AMIABLENESS,"Affability"
AMIGHTYWIND,"Film spoof of 2003"
AMIGOSBEARS,"Threes over twos"
AMINNOWACID,"Cause of fish indigestion?"
AMITYISLAND,"""Jaws"" locale"
AMMACCAPANE,"1992 US Solheim Cup team member"
AMMANJORDAN,"*Capital ENE of Jerusalem"
AMMANSWORLD,"Life in Jordan?"
AMOAMASAMAT,"School phrase with a clue to this puzzle's theme"
AMONTILLADO,"Poe potable"
AMONTILLADO,"Sherry variety"
AMONTILLADO,"Spanish sherry"
AMOSANDANDY,"Comedy duo"
AMPERESTATE,"Condition of energy?"
AMPLIFIABLE,"Like the loudest of loud music?"
AMSTELEXAMS,"Tests of one's knowledge of Dutch beer?"
AMTHEWALRUS,"""I ___"" (tune for Tennessee Tuxedo's pal Chumley?)"
AMTRAKBEERS,"Orders in the bar car?"
AMYREYNALDO,"""___ Rules!"" (in ACPT B-Div.)"
AMYVANDYKEN,"Swimming gold-medallist"
ANACCESSORY,"INSP: ""Yeah, even if he was just ___."""
ANACHRONISM,"This is always out of time"
ANACHRONIZE,"Have a bad time?"
ANACOLUTHON,"Syntactical incoherence"
ANAESTHESIA,"Literally ""without sensation"""
ANAFTERNOON,"What you might spend at the matinee"
ANAIVANOVIC,"*2008 French Open champion"
ANALLIGATOR,"Factoid, part 3"
ANALOGOUSTO,"Like"
ANALYZEHITS,"Robert De Niro and Billy Crystal dissect pop music success?"
ANALYZETHAT,"2002 comedy sequel"
ANAPOLOGYIS,"Start of a quip"
ANAPPLEADAY,"Proverbial prescription for health"
ANAXTOGRIND,"What the selfishly-motivated may have"
ANCHOPEPPER,"Sweet chili ingredient"
ANCHORWOMAN,"Katie Couric, e.g."
ANCIENTROME,"Subject of a six-volume history by Edward Gibbon"
ANCIENTROME,"Where pig Latin began?"
ANCIENTRUNS,"Very old races?"
ANDAWAYWEGO,"""Jackie Gleason Show"" catchphrase"
ANDAWAYWEGO,"Jackie Gleason catchphrase"
ANDAWAYWEGO,"Jackie Gleason's epitaph"
ANDDONEMORE,"Middle of a verbal quip"
ANDDONEMORE,"More of the quip"
ANDEVERYHUE,"Part 4 of the comment"
ANDFORGETTO,"Quip, part 3"
ANDFORGETTO,"Quote, part 3"
ANDHANDLING,"""$9.95 plus shipping___"""
ANDHISMONEY,"Query, part 2"
ANDILLSETIT,"QUOTE, PART 3"
ANDILOVEHER,"1964 Beatles hit"
ANDILOVEHER,"Flip side of the Beatles' ""If I Fell"""
ANDKEEPBOTH,"More of the definition"
ANDLOSTTHAN,"Part 3 of quip"
ANDMARRIAGE,"""LOVE ___"" (Frank Sinatra, 1955)"
ANDMULTIPLY,"Riddle, part 4"
ANDNOTHEARD,"End of the quip"
ANDPOTATOES,"Meat follower"
ANDREADORIA,"1956 newsmaking ship"
ANDREADORIA,"GENOESE ADMIRAL"
ANDREADORIA,"Genoan statesman whose name went down in history?"
ANDREADORIA,"Genoese admiral known as ""Liberator and Father of His Country"""
ANDREADORIA,"Ill-fated ship, 7/26/56"
ANDREADORIA,"Italian ocean liner: 1956"
ANDREAGASSI,"1922 Wimbledon winner"
ANDREAGASSI,"1992 Wimbledon winner"
ANDREAGASSI,"1999 U.S. Open champ"
ANDREAGASSI,"Steffi Graf's husband"
ANDREAGASSI,"Tennis gold-medallist"
ANDREAGASSI,"Winner 1994, 99"
ANDREWCUOMO,"Clinton Cabinet member whose father is a powerful former governor"
ANDREWCUOMO,"Clinton made him the second-youngest cabinet member in history (39 years)"
ANDREWELIZA,"JOHNSONS"
ANDREWPONZI,"Pool champion named after a pyramid game"
ANDREWWIGHT,"Painter of ""Christina's World""?"
ANDROCRATIC,"Ruled by men"
ANDRUWJONES,"Youngest person to hit a home run in a World Series"
ANDSOAREYOU,"The message: Part IV"
ANDSOITGOES,"2011 biography subtitled {Kurt Vonnegut: A Life}"
ANDSUNDANCE,"Butch follower"
ANDTHENSOME,"Plus"
ANDTHENSOME,"Reaction to an understatement"
ANDTWITCHES,"End of riddle"
ANDYOUSHALL,"SEEK (UPDATED)..."
ANEAROFCORN,"Poetically close to a cob?"
ANEMOMETERS,"Meteorological tools"
ANESCALATOR,"""I'm a doctor, not ___"" (""Friday's Child"")"
ANESTHETIZE,"Put under"
ANEVENDOZEN,"<--"
ANEYEOUTFOR,"What to KEEP when one keeps watch"
ANFRACTUOUS,"Full of twists and turns"
ANGELADAVIS,"Civil rights movement activist"
ANGELADAVIS,"Communist Party V.P. candidate of '80 and '84"
ANGELICALLY,"In a saintly manner"
ANGELINAJOL,"Lara Croft portrayer"
ANGELSWINGS,"Turns at bat in Anaheim?"
ANGEREDDEER,"Beasts protected by NEPA"
ANGIOSPERMS,"Plants whose seeds are enclosed in an ovary"
ANGKORSQUAT,"Crash pad in Cambodia?"
ANGLONORMAN,"Settler after a conquest of 1066"
ANGLOSAXONS,"Early settlers in England"
ANGLOSAXONS,"Norman Conquest subjects"
ANGLOZAXXON,"Fighter craft shooter marketed to white people?"
ANGOLAGOONS,"African mobsters?"
ANIDIFRANCO,"""Not a Pretty Girl"" singer, 1995"
ANIDIFRANCO,"Folk singer who runs her own Righteous Babe record label"
ANIDIFRANCO,"Singer with the 1999 album ""To the Teeth"""
ANIMALHOUSE,"*Belushi's breakout film"
ANIMALHOUSE,"1978 John Belushi film set at 'Faber College'"
ANIMALHOUSE,"1978 comedy set at Faber College (whose motto is ""Knowledge is good"")"
ANIMALHOUSE,"Classic Belushi comedy, or an apt description of this puzzle's grid?"
ANIMALHOUSE,"Delta shelter of 1978"
ANIMALHOUSE,"High-""grossing"" film of 1978"
ANIMALHOUSE,"Kevin Bacon's film debut"
ANIMALLOVER,"Humane Society devotee"
ANIMALLOVER,"PETA member, probably"
ANITABRYANT,"Pitcher of orange juice"
ANITASBAKER,"Oven for a singer?"
ANKLEANCHOR,"Navy tattoo near your foot?"
ANKLEBRACES,"Lower-leg supports"
ANNAMAGNANI,"Burt Lancaster's co-star in ""The Rose Tattoo"""
ANNAMAGNANI,"Star of ""The Rose Tattoo"""
ANNAMAYWONG,"""The Thief of Bagdad"" co-star"
ANNAPAVLOVA,"'Get my swan costume ready'"
ANNAPAVLOVA,"RUSSIA"
ANNAPAVLOVA,"Russian ballerina famous for her role in ""Swan Lake"": 2 wds."
ANNAWINTOUR,"""Vogue"" chief"
ANNAWINTOUR,"Subject of ""The September Issue"""
ANNERANSCAN,"Murray conducted an MRI?"
ANNESWIFTLY,"""John ith,"" lisped ___"
ANNEXAGORAS,"Greek who said, ""There's no such thing as having too much land""?"
ANNEXXANADU,"Acquire a place of great luxury?"
ANNEXXANADU,"Add an idyllic place to one's territory?"
ANNFLANDERS,"Belgian advice columnist?"
ANNIELAURIE,"Girl of song"
ANNIELENNOX,"""Walking on Broken Glass"" singer"
ANNIELENNOX,"""Walking on Broken Glass"" singer (born 12/25/54)"
ANNIELENNOX,"Scottish pop singer born 12/25/1954"
ANNIEMATION,"Cartoon girl?"
ANNIEOAKLEY,"Better-known name of Phoebe Moses"
ANNIEOAKLEY,"Famed sharpshooter"
ANNIEOAKLEY,"Free pass"
ANNIEOAKLEY,"Free ticket"
ANNIEOAKLEY,"Pass"
ANNIEOAKLEY,"Star of Buffalo Bill's Wild West Show"
ANNIEOAKLEY,"Subject of the Edison Kinetoscope film ""The Little Sure Shot"""
ANNIEOAKLEY,"Wild West show markswoman"
ANNIVERSARY,"Husband-and-wife milestone"
ANNIVERSARY,"Type of party"
ANNOUNCESTO,"Informs"
ANNREINKING,"Actress Sothern drawing a comic strip again?"
ANNREINKING,"___ would rather be dancing than ___ her stamp pads"
ANNRICHARDS,"Texas governor before George W. Bush"
ANNSHERIDAN,"'Kings Row' co-star"
ANNUALPLANT,"Where yearbooks are made?"
ANNUITYPLAN,"Pension option"
ANOLIVEINIT,"End of the joke"
ANOTHERCOUN,"Baldwin's try"
ANOTHERTEST,"Part 2 of quip"
ANOTHERTHAT,"More of the quip"
ANOTHERTIME,"""I'm busy now"""
ANOTHERWORD,"Don't say this!"
ANOTHERWORD,"Synonymous with, with ""for"""
ANSWERINTHE,"More of message"
ANSWERSEXIS,"More of epigram"
ANTAGONISTS,"Punch and Judy, for example"
ANTAGONIZED,"Made an enemy of"
ANTCOUNTING,"Activity for an entomologist taking inventory?"
ANTECEDENTS,"What pronouns refer to"
ANTECHAMBER,"Waiting area"
ANTESTHESIA,"What keeps insects pain-free?"
ANTHOLOGIST,"Literary compiler"
ANTHRACITES,"Mining finds"
ANTIBIOTICS,"Bacteria destroyers such as penicillin or streptomycin"
ANTIBIOTICS,"Treatments for infectious disease, as penicillin and streptomycin"
ANTICCOLONY,"Clown settlement?"
ANTICIPATES,"Foresees"
ANTICIPATES,"Foretastes"
ANTICYCLONE,"A fair-weather system ends with one"
ANTIDEPRESS,"Prozac, for one"
ANTIFEDERAL,"Opposed to the Constitution"
ANTIGENXERS,"People who cross out a substance that causes an immune response?"
ANTIGRAVITY,"Ideal spacecraft-propulsion method"
ANTIGRAVITY,"Like some sci-fi boots"
ANTIHEROINE,"Becky Sharp of ""Vanity Fair,"" e.g."
ANTIHEROINE,"Catwoman, e.g."
ANTILEAGUER,"1920's isolationist"
ANTILIBERAL,"Right-brained?"
ANTILOCKBOX,"Where to store a type of brakes?"
ANTIMASONIC,"Political party formed in 1828 to oppose the power of a secret society"
ANTIOXIDANT,"Beneficial substance in fruits, vegetables and tea"
ANTIOXIDANT,"Beneficial substance in fruits, veggies, and tea"
ANTIOXIDANT,"Beta carotene, for one"
ANTIOXIDANT,"Vitamin C, e.g."
ANTIPASTIME,"Fun-hating?"
ANTIPYRETIC,"1991's word: Fever-preventing"
ANTIQUARIAN,"Dealing in old rare books"
ANTIQUESHOP,"An old secretary might sit in one"
ANTISEPTICS,"Destroyers of microorganisms"
ANTISKIDROW,"Street where tires never slip?"
ANTITHYROID,"Type of drug that can counteract glandular activity"
ANTITRUSTME,"""Hey, toss over that pamphlet on breaking up monopolies""?"
ANTIWARTEST,"Entrance exam for Pacifist University?"
ANTLERLANTA,"Georgia metropolis, after the deer took over?"
ANVILCHORUS,"""Il Trovatore"" piece"
ANVILCHORUS,"""Il Trovatore"" song"
ANVILCHORUS,"""Il Trovotore"" highlight"
ANVILCHORUS,"Song from Verdi's ""Il Trovatore,"" with ""The"""
ANXIOUSNESS,"Butterflies"
ANXIOUSTIME,"Cause of mental distress, perhaps"
ANXSMOMENTS,"Periods of uncertainty without ""marker"""
ANYBODYHOME,"Question after a knock on the door"
ANYONEFRANK,"""Can I get an honest opinion here?""?"
ANYWEEVERSE,"This little poem or that?"
ANYWITCHWAY,"This or that Halloween spell?"
AONEMILLION,"RARITY"
AORTICVALVE,"Cardiac regulator"
APEAPERITIF,"Banana daiquiri?"
APEDESTRIAN,"Definition that explains walking, Part 1"
APENNYSAVED,"Part 1 of frugal advice"
APENNYSAVED,"Start of advice from 17A"
APERECORDER,"Simian's steno?"
APERFECTSPY,"1986 John le Carre classic"
APERSONWHOS,"Definition of an egotist (Part 1)"
APERSONWHOS,"Query: Part 2"
APESOFWRATH,"Angry gorillas?"
APESOFWRATH,"Angry simians?"
APHIDREADER,"Bug's favorite bookworm?"
APHRODISIAC,"Substance that makes you hot"
APIASAWAPIA,"Actress Zadora visited Samoa's capital?"
APIGINAPOKE,"Chancy buy"
APIGINAPOKE,"Gullible one's purchase, perhaps"
APIRATESPET,"Q: Is it ___? A: Yes"
APLEMCOANND,"Mixed nuts?"
APLUGNICKEL,"Electrician's favorite coin?"
APLUGNICKEL,"What Jefferson's not worth?"
APLUMNICKEL,"Coin something might not be worth"
APOLLOSOYUZ,"1970s joint U.S./Soviet space project"
APOLLOSOYUZ,"First joint flight of the U.S. and Soviet space programs"
APORTOFCALL,"To the left of a visit in an itinerary?"
APOSTERIORI,"Empirical"
APOSTROPHES,"Digressions in a speech"
APOSTROPHES,"Parts of some Irish names"
APOSTROPHES,"What links the theme entries"
APOWERHOUSE,"Compliment for Alessandro Volta?"
APPACHSHOTS,"They're aimed at the green"
APPALACHIAN,"""___ Memories"" (Dolly Parton)"
APPALACHIAN,"Aaron Copland's ""Spring"" range?"
APPALLAPAUL,"Dismay Reiser or Revere?"
APPARATCHIK,"Bureaucrat, Russian style"
APPARITIONS,"Haunted house inhabitants"
APPEALINGLY,"""The von Bulow case really made me a star,"" opined Alan Dershowitz ___"
APPEARANCES,"Outward impressions"
APPEARANCES,"They can be deceiving"
APPLEBUTTER,"Fruity bread topper"
APPLEBUTTER,"Fruity spread"
APPLEBUTTER,"One ramming fruit?"
APPLECARTEL,"Northern Spy bloc?"
APPLECHEEKS,"Rosy glow"
APPLECHIDER,"Macintosh critic?"
APPLECIDERS,"Refreshments often made hard"
APPLEHIPPIE,"Person with a pad and an iPad?"
APPLEPIXIES,"Orchard sprites?"
APPLEPOLISH,"Curry favor with"
APPLEPOLISH,"Curry favor with the boss, say"
APPLESCORES,"Successes for Jobs?"
APPLESPIDER,"Bug's favorite fall drink?"
APPLEVALLEY,"Roy and Dale's California town"
APPRECIATED,"Became more valuable"
APPREHENDER,"Officer, at times"
APPROBATION,"Blessing"
APPROPRIATE,"RIGHT"
APPROPRIATE,"Take, or authorize to give"
APPROXIMATE,"Close"
APPROXIMATE,"Estimated"
APREFECTSPY,"""Secretive Student Monitor""? [John le Carré]"
APRILDANCER,"Powers role in ""The Girl from U.N.C.L.E."""
APRILDANCER,"TV's ""girl from U.N.C.L.E.,"" played by Stefanie Powers"
APRILRAINES,"Weather Page Editor"
APRILSHOWER,"Spring event"
APRILSHOWER,"Spring fall"
APRISONSAIL,"Where the criminal seaman ended up?"
APTNRACLERK,"Clever hot-shot lobbyist in a Central Park mix-up?"
APUNGENTOOS,"James Bond after a week without a shower?"
AQUAHOGWEED,"Unusually colored invasive plant?"
ARABCOUNTRY,"Iraq or Qatar"
ARABCOUNTRY,"Jordan or Iraq"
ARABCOUNTRY,"Many an OPEC member"
ARABCOUNTRY,"Many an oil exporter"
ARABCOUNTRY,"Qatar, for one"
ARACHNIDMAN,"Comic book hero?"
ARAGETOLIVE,"1949 John O'Hara novel"
ARAGETOVEIL,"O'Hara's story of Middle East extremism?"
ARAISETODAY,"Office quip, part 2"
ARBITRATION,"One way to settle differences"
ARBITRATION,"Process at work in some hearings"
ARCADEGAMES,"Machines that let you know when you're dead"
ARCHANEMONE,"Hardly one's best frond!"
ARCHARRIVAL,"Milestone in St. Louis history?"
ARCHENEMIES,"Bad shoes, to a podiatrist?"
ARCHIEMOORE,"'50s light heavyweight champ"
ARCHIEOLOGY,"Study that Edith Bunker digs"
ARCHINGBAND,"*Any color in a rainbow?"
ARCHIPELAGO,"Palmer is one"
ARCTICOCEAN,"Baffin Island's location"
ARCTICOCEAN,"It's around the North Pole"
ARCTICOCEAN,"North Pole surrounder"
ARCTICOCEAN,"Splashy North Pole neighbor"
ARCTICOCEAN,"Wet North Pole neighbor"
AREACODEMAP,"Verizon reference"
AREAFRAIDOF,"Part 2 of the law"
AREASONADOG,"Start of an explanation for canine friendship"
AREGULARJOE,"What the common guy is?"
ARENUMBERED,"End of quote"
ARESATTACKS,"Nicholson flop of 1996?"
ARETAKINGUP,"Part 4 of the quip"
ARETHEWOMAN,"""You ___"" (Firefall, 1976)"
AREYOUALONE,"Phone query before a private conversation"
AREYOUALONE,"Third come-on"
AREYOUOAKEH,"Question for a Canadian tree?"
AREYOUTHERE,"Question asked when someone is breaking up"
ARGENTINEAN,"Sabatini or Vilas"
ARGYLESOCKS,"Diamond-patterned attire"
ARGYLESOCKS,"Patterned footwear"
ARIAKIDDING,"Crossworder's opera jokes?"
ARIELDURANT,"Pulitzer-winning historian"
ARIELSHARON,"Founder of the political party Kadima"
ARIESTHERAM,"Zodiac's first animal"
ARISTOCRACY,"Upper crust"
ARKTHOUGHTS,"Noah's notions?"
ARLESFRANCE,"""Sunflowers"" setting"
ARLOGUTHRIE,"""Coming into Los Angeles"" Woodstock performer"
ARLOGUTHRIE,"""The City of New Orleans"" singer"
ARLOGUTHRIE,"Rising Son Records founder"
ARLOGUTHRIE,"Woodstock performer, 1969"
ARMAGETITON,"2005 ""pornification"" of a 1998 summer blockbuster"
ARMANDHAMER,"2000 tycoon"
ARMEDBANDIT,"Highwayman with a weapon"
ARMEDFORCES,"Army and Navy"
ARMEDFORCES,"Classic 1979 Elvis Costello album"
ARMEDFORCES,"Navy, Marines, etc."
ARMINGTREND,"Switching from 38s to 45s, say?"
ARMOFTHESEA,"A Scottish loch, for example"
ARMORHAMMER,"Tool for nailing mail?"
ARMSEMBARGO,"Military sanction"
ARMSEMBARGO,"Subject of the Neutrality Act"
ARMSTOSUDAN,"Vision of African gunrunning?"
ARMTHECHAIR,"Supply weapons to a committee head?"
ARMTWISTING,"Aggressive politician's workout?"
ARMTWISTING,"Event at 20A?"
ARMTWISTING,"Method of persuasion"
ARMTWISTING,"Persuading"
ARMTWISTING,"Persuasion"
ARMWRESTLER,"Athlete seated at a table, maybe"
ARMYOFFICER,"MARSHAL"
ARMYOFFICER,"Octopus on the board?"
ARMYSURPLUS,"Certain store's specialty"
ARMYTENANTS,"Base residents?"
ARNESSBLAKE,"Matt and Kitty"
ARNIEBECKER,"Lawyer created by Steven Bochco and played by Corbin Bernsen"
ARNIEPALMER,"Pilgrim becomes golfer"
AROMADOWNEY,"Perfumed actress?"
AROMATICTEE,"Item at a golf boutique?"
AROTUNDMASS,"Obesity epidemic of the future?"
AROUNDTHEHO,"From third to second to first base"
AROUNDTREES,"Where Paul Bunyan hangs out"
ARRESTRANTS,"*Diatribes from captured criminals?"
ARRESTRANTS,"Blusterings of the busted?"
ARRESTROOMS,"Places for bookings?"
ARRESTYOURE,"POLICEMAN'S PRONOUNCEMENT?"
ARRIVEDERCI,"""Ciao!"""
ARRIVEDERCI,"""See ya!"" overseas"
ARRIVEDERCI,"""___, Baby!"" (1966 Tony Curtis crime comedy)"
ARRIVEDERCI,"Goodbye Rome"
ARRIVEDERCI,"Italian farewell"
ARRIVEDERCI,"Parting words"
ARRIVEDERCI,"Sorrento sign-off"
ARSENELUPIN,"Maurice Leblanc sleuth"
ARSENIOHALL,"""Coming to America"" co-star"
ARSENIOHALL,"""Coming to America"" star"
ARSENIOHALL,"Jon Stewart replaced him"
ARSENIOHALL,"Sammo Hung's ""Martial Law"" co-star"
ARSENIOHALL,"TV host"
ARTBUCHWALD,"Writer of the column ""Paris After Dark"""
ARTDIRECTOR,"Layout pro"
ARTFULTATUM,"Cunning jazz pianist?"
ARTHURBURNS,"President as economist"
ARTHURCONAN,"First two of a mystery writer"
ARTHURDOYLE,"...Conan..."
ARTHURSHILL,"...and take a short hike up..."
ARTICHOKEHE,"Fancy salad ingredient"
ARTICHOKEHS,"Salad ingredients"
ARTISTSMOCK,"Covering used while painting"
ARTMOVEMENT,"DADA"
ARTRESTORER,"Preservationist working at a museum"
ARTSCOLLEGE,"There's no B.S. here"
ARTSUPPLIES,"Humorist Buchwald's equipment?"
ARTURNIPPED,"Pianist Rubinstein pinched?"
ARTYFELDMAN,"Pretentious actor?"
ASACUCUMBER,"Cool ___"
ASAHOUNDDOG,"Lop-eared ___"
ASANISOTOPE,"Atomically numerically equivalent ___ (useless simile)"
ASANTACLAUS,"Editorial, part 3"
ASAPTIMABLE,"IN OTHER WORDS, HE'S A FINE FATHER"
ASCENTOFMAN,"Aftershave?"
